Archivo,Profesor,Grupo,Materia,Horas_Semana,Dia,Hora_Inicio,Hora_Fin,Bloque_Horario,Salon,Tipo_Salon,Piso,Es_Invalido,Es_Primer_Semestre
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,7503/C,CONMUTACIÓN Y ENRUTAMIENTO EN REDES DE DATOS,5,Miercoles,19:20,19:21,1920,FF2,Teoría,Planta Baja,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,7503/C,CONMUTACIÓN Y ENRUTAMIENTO EN REDES DE DATOS,5,Jueves,19:20,19:21,1920,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,1 [] [] SIN PROFESOR ASIGNADO,7503/C,CONMUTACIÓN Y ENRUTAMIENTO EN REDES DE DATOS,5,Viernes,19:20,19:21,1920,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,PROFESOR 1,1502/AA,FUNDAMENTOS DE PROGRAMACIÓN,5,Lunes,08:09,08:10,0809,FF2,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 1,1502/AA,FUNDAMENTOS DE PROGRAMACIÓN,5,Martes,08:09,08:10,0809,LIA,Laboratorio,Primer Piso,0,1
01_Horario_Inicial,PROFESOR 1,1502/AA,FUNDAMENTOS DE PROGRAMACIÓN,5,Miercoles,08:09,08:10,0809,FF2,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 1,1502/AA,FUNDAMENTOS DE PROGRAMACIÓN,5,Jueves,08:09,08:10,0809,LIA,Laboratorio,Primer Piso,0,1
01_Horario_Inicial,PROFESOR 1,1502/AA,FUNDAMENTOS DE PROGRAMACIÓN,5,Viernes,08:09,08:10,0809,LIA,Laboratorio,Primer Piso,0,1
01_Horario_Inicial,PROFESOR 1,1502/BA,FUNDAMENTOS DE PROGRAMACIÓN,5,Lunes,09:10,09:11,0910,FF2,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 1,1502/BA,FUNDAMENTOS DE PROGRAMACIÓN,5,Martes,09:10,09:11,0910,LIA,Laboratorio,Primer Piso,0,1
01_Horario_Inicial,PROFESOR 1,1502/BA,FUNDAMENTOS DE PROGRAMACIÓN,5,Miercoles,09:10,09:11,0910,FF2,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 1,1502/BA,FUNDAMENTOS DE PROGRAMACIÓN,5,Jueves,09:10,09:11,0910,LIA,Laboratorio,Primer Piso,0,1
01_Horario_Inicial,PROFESOR 1,1502/BA,FUNDAMENTOS DE PROGRAMACIÓN,5,Viernes,09:10,09:11,0910,LIA,Laboratorio,Primer Piso,0,1
01_Horario_Inicial,PROFESOR 1,4505/A,TÓPICOS AVANZADOS DE PROGRAMACIÓN,5,Lunes,11:12,11:13,1112,FF4,Teoría,Planta Baja,0,0
01_Horario_Inicial,PROFESOR 1,4505/A,TÓPICOS AVANZADOS DE PROGRAMACIÓN,5,Martes,11:12,11:13,1112,LSO,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,PROFESOR 1,4505/A,TÓPICOS AVANZADOS DE PROGRAMACIÓN,5,Miercoles,11:12,11:13,1112,FF4,Teoría,Planta Baja,0,0
01_Horario_Inicial,PROFESOR 1,4505/A,TÓPICOS AVANZADOS DE PROGRAMACIÓN,5,Jueves,11:12,11:13,1112,LSO,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,PROFESOR 1,4505/A,TÓPICOS AVANZADOS DE PROGRAMACIÓN,5,Viernes,11:12,11:13,1112,LSO,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,PROFESOR 1,1114/A,MATEMÁTICAS DISCRETAS,5,Lunes,14:15,14:16,1415,AV1,INVÁLIDO,N/A,1,1
01_Horario_Inicial,PROFESOR 1,1114/A,MATEMÁTICAS DISCRETAS,5,Martes,14:15,14:16,1415,AV1,INVÁLIDO,N/A,1,1
01_Horario_Inicial,PROFESOR 1,1114/A,MATEMÁTICAS DISCRETAS,5,Miercoles,14:15,14:16,1415,AV1,INVÁLIDO,N/A,1,1
01_Horario_Inicial,PROFESOR 1,1114/A,MATEMÁTICAS DISCRETAS,5,Jueves,14:15,14:16,1415,AV1,INVÁLIDO,N/A,1,1
01_Horario_Inicial,PROFESOR 1,1114/A,MATEMÁTICAS DISCRETAS,5,Viernes,14:15,14:16,1415,AV1,INVÁLIDO,N/A,1,1
01_Horario_Inicial,PROFESOR 2,1504/B,MATEMÁTICAS DISCRETAS,5,Lunes,07:08,07:09,0708,FF3,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 2,1504/B,MATEMÁTICAS DISCRETAS,5,Martes,07:08,07:09,0708,FF3,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 2,1504/B,MATEMÁTICAS DISCRETAS,5,Miercoles,07:08,07:09,0708,FF3,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 2,1504/B,MATEMÁTICAS DISCRETAS,5,Jueves,07:08,07:09,0708,FF3,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 2,1504/B,MATEMÁTICAS DISCRETAS,5,Viernes,07:08,07:09,0708,FF3,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 2,1504/C,MATEMÁTICAS DISCRETAS,5,Lunes,08:09,08:10,0809,FF4,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 2,1504/C,MATEMÁTICAS DISCRETAS,5,Martes,08:09,08:10,0809,FF4,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 2,1504/C,MATEMÁTICAS DISCRETAS,5,Miercoles,08:09,08:10,0809,FF4,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 2,1504/C,MATEMÁTICAS DISCRETAS,5,Jueves,08:09,08:10,0809,FF4,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 2,1504/C,MATEMÁTICAS DISCRETAS,5,Viernes,08:09,08:10,0809,FF4,Teoría,Planta Baja,0,1
01_Horario_Inicial,PROFESOR 2,5505/A,GRAFICACIÓN,4,Lunes,11:12,11:13,1112,FF1,Teoría,Planta Baja,0,0
01_Horario_Inicial,PROFESOR 2,5505/A,GRAFICACIÓN,4,Martes,11:12,11:13,1112,FF1,Teoría,Planta Baja,0,0
01_Horario_Inicial,PROFESOR 2,5505/A,GRAFICACIÓN,4,Miercoles,11:12,11:13,1112,FF1,Teoría,Planta Baja,0,0
01_Horario_Inicial,PROFESOR 2,5505/A,GRAFICACIÓN,4,Jueves,11:12,11:13,1112,FF1,Teoría,Planta Baja,0,0
01_Horario_Inicial,PROFESOR 2,5505/B,GRAFICACIÓN,4,Lunes,14:15,14:16,1415,FF1,Teoría,Planta Baja,0,0
01_Horario_Inicial,PROFESOR 2,5505/B,GRAFICACIÓN,4,Martes,14:15,14:16,1415,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,PROFESOR 2,5505/B,GRAFICACIÓN,4,Miercoles,14:15,14:16,1415,FF1,Teoría,Planta Baja,0,0
01_Horario_Inicial,PROFESOR 2,5505/B,GRAFICACIÓN,4,Jueves,14:15,14:16,1415,LR,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,PROFESOR 2,850N/B,INTERFACES PARA INTELIGENCIA DE NEGOCIOS,5,Lunes,15:16,15:17,1516,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 2,850N/B,INTERFACES PARA INTELIGENCIA DE NEGOCIOS,5,Martes,15:16,15:17,1516,LIA,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,PROFESOR 2,850N/B,INTERFACES PARA INTELIGENCIA DE NEGOCIOS,5,Miercoles,15:16,15:17,1516,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 2,850N/B,INTERFACES PARA INTELIGENCIA DE NEGOCIOS,5,Jueves,15:16,15:17,1516,LIA,Laboratorio,Primer Piso,0,0
01_Horario_Inicial,PROFESOR 2,850N/B,INTERFACES PARA INTELIGENCIA DE NEGOCIOS,5,Viernes,15:16,15:17,1516,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 3,7501/A,LENGUAJES Y AUTÓMATAS II,5,Lunes,10:11,10:12,1011,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 3,7501/A,LENGUAJES Y AUTÓMATAS II,5,Martes,10:11,10:12,1011,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 3,7501/A,LENGUAJES Y AUTÓMATAS II,5,Miercoles,10:11,10:12,1011,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 3,7501/A,LENGUAJES Y AUTÓMATAS II,5,Jueves,10:11,10:12,1011,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 3,7501/A,LENGUAJES Y AUTÓMATAS II,5,Viernes,10:11,10:12,1011,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 3,6501/A,LENGUAJES Y AUTÓMATAS I,5,Lunes,11:12,11:13,1112,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 3,6501/A,LENGUAJES Y AUTÓMATAS I,5,Martes,11:12,11:13,1112,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 3,6501/A,LENGUAJES Y AUTÓMATAS I,5,Miercoles,11:12,11:13,1112,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 3,6501/A,LENGUAJES Y AUTÓMATAS I,5,Jueves,11:12,11:13,1112,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 3,6501/A,LENGUAJES Y AUTÓMATAS I,5,Viernes,11:12,11:13,1112,FFA,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 4,8509/A,INTELIGENCIA ARTIFICIAL,4,Lunes,08:09,08:10,0809,FF9,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 4,8509/A,INTELIGENCIA ARTIFICIAL,4,Martes,08:09,08:10,0809,FF9,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 4,8509/A,INTELIGENCIA ARTIFICIAL,4,Miercoles,08:09,08:10,0809,FF9,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 4,8509/A,INTELIGENCIA ARTIFICIAL,4,Jueves,08:09,08:10,0809,FF9,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 4,4506/A,TALLER DE SISTEMAS OPERATIVOS,4,Lunes,10:11,10:12,1011,LBD,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,PROFESOR 4,4506/A,TALLER DE SISTEMAS OPERATIVOS,4,Martes,10:11,10:12,1011,LBD,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,PROFESOR 4,4506/A,TALLER DE SISTEMAS OPERATIVOS,4,Miercoles,10:11,10:12,1011,LBD,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,PROFESOR 4,4506/A,TALLER DE SISTEMAS OPERATIVOS,4,Jueves,10:11,10:12,1011,LBD,Laboratorio,Segundo Piso,0,0
01_Horario_Inicial,PROFESOR 4,8509/B,INTELIGENCIA ARTIFICIAL,4,Lunes,16:17,16:18,1617,FFC,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 4,8509/B,INTELIGENCIA ARTIFICIAL,4,Martes,16:17,16:18,1617,FFC,Teoría,Planta Alta,0,0
01_Horario_Inicial,PROFESOR 4,8509/B,INTELIGENCIA ARTIFICIAL,4,Miercoles,16:17,16:18,1617,FFC,Teoría,Planta Alta,0,0
